Lokalizacja,Autor,Ocena,Data,Kategoria,Tresc,ReviewID
Carsed Siedlce,Paweł Tryczyk,5,17.02.2026 17:22,Ogólne,"Serwis godny polecenia. Usługa wykonana sprawnie, terminowo i zgodnie z ustaloną wyceną. Samochód po przeglądzie oddany czysty i gotowy do drogi. Zdecydowanie 5 gwiazdek dla CARSED Siedlce!",places/ChIJ0QUxRv9bH0cRxjm_v9-yknA/reviews/Ci9DQUlRQUNvZENodHljRjlvT201dGJFcFBWSHBPVUhSUlRrSlZPV3RuUlV0NFUwRRAB
Carsed Siedlce,Wojtek Brągiel,5,15.12.2025 15:15,Karol Lipiecki,Wszystko przebiegło pomyślnie. Zawsze profesjonalni i z wysoką kulturą osobistą. Zawsze podpowiedzą najlepsze rozwiązanie. Na duży plus Pan Karol Lipiecki jeden z najlepszych doradców serwisowych.,places/ChIJ0QUxRv9bH0cRxjm_v9-yknA/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pSVWNrbEZTM1p4ZVZwMFVIcGZOREJQYTNNdFowRRAB
Carsed Siedlce,Bartus Deszczyk,5,24.09.2025 11:23,Ogólne,Witam serdecznie polecam korzystanie z usług serwisu CARSED. Byłem Cupra na wymianie oleju bardzo miła i fachowa obsługa kurtki czas oczekiwania na auto jestem bardzo zadowolony i na pewno wrócę na kolejną wymianę oleju właśnie tu,places/ChIJ0QUxRv9bH0cRxjm_v9-yknA/reviews/Ci9DQUlRQUNvZENodHljRjlvT21RM2RITlRZMmRQYzAxSGQyOXdhVEIwZDA5emJXYxAB
Carsed Siedlce,Michael Siedlce,5,14.06.2024 08:06,Ogólne,"Profesjonalny serwis i salon. Miła obsługa, pyszna kawa dla gości, usługi na najwyższym poziomie. Polecam. Serwisowałem Seata, później Golfa, obecnie mam prywatną Octavię i najnowszego golfa służbowego i zawsze chętnie jadę do Carsed.",places/ChIJ0QUxRv9bH0cRxjm_v9-yknA/reviews/ChZDSUhNMG9nS0VJQ0FnSUNMME51U01REAE
Carsed Siedlce,Robert Bulawa,1,04.03.2025 22:04,Ogólne,"Witam wszystkich. W moim seacie Leon wypadla z obudowy kamera cofania.. ok zabezpieczylem powtarzam zabezpieczylem tą nieszczęsną kamere po prostu cienkim filmem silikonu i umocowalem ja z powrotem do obudowy z obawy dostania sie wody do elementów elektrycznych ,logiczne? Otóż okazalo sie ze nie!!! Podczas wizyty w ,serwisie, otrzymalem wiadomosc ze nie obejmuje mnie gwarancja gdyż jak usłyszałem nastąpiła nieautoryzowana NAPRAWA!!! Po czym smutny pan kierownik z dzialu technicznego a dodam ze musialem sam domagac sie rozmowy z nim a dodam ze byl bardze zniesmaczony moim wyjasnieniem opowiedzial mi historie jak to klijent mial pęknięty przedni reflektor ktorego nie zabezpieczył !!!! słyszycie nie zabezpieczył!!! W efekcie czego doszło do zwarcia i uszkodzenia calego reflektora i jeszcze domagal sie naprawy gwarancyjnej. Ok poprosilem o opisanie mi calej rozmowy i toku myslenia PANA kierownika i wysłania na emaila i cisza zadnej odpowiedzi zadnej! Suma wrażeń po rozmowie z personelem tego tak zwanego Serwisu ??? Pozostawiam ocenie Państwu drodzy użytkownicy Seatów",places/ChIJ0QUxRv9bH0cRxjm_v9-yknA/reviews/ChZDSUhNMG9nS0VJQ0FnTUNRZ1piOUNBEAE
Škoda - CARSED Siedlce,Suhail Janwari,1,03.12.2025 11:33,Ogólne,"Miałem fatalne doświadczenie w Skoda Siedlce, Polska. Oddałem moją Skodę Kamiq do serwisu z powodu kontrolnych świateł ostrzegawczych—silnika i systemu Front Assist—które nie gasły. Umówiona wizyta była o 8:30 rano, a samochód pozostawał w serwisie do południa. Twierdzili, że naprawili problem ze światłem silnika, za co pobrali 400 zł, oraz zdiagnozowali problem z systemem Front Assist za 200 zł, tylko po to, by powiedzieć mi, że albo muszę wymienić części warte 1,000 zł, albo cały system za 3,500 zł, bez żadnej pewności, że to rzeczywiście rozwiąże problem. To był moment, w którym poczułem się oszukany. Jaki warsztat pobiera opłatę za diagnozę, nie dostarczając jednoznacznej odpowiedzi? Jakby tego było mało, problem ze światłem silnika, który rzekomo naprawili, powrócił po zaledwie 50 km jazdy. Gdy zadzwoniłem następnego dnia, przekierowano mnie do pana Daniela Jaszczuka, tej samej osoby zajmującej się moją sprawą. Jego odpowiedź? Musiałbym ponownie zapłacić za diagnozę. To miejsce działa jak oszustwo. Pobierają opłaty za niedokończoną pracę, nie ponoszą żadnej odpowiedzialności i wydają się bardziej zainteresowani zarabianiem pieniędzy niż faktycznym świadczeniem rzetelnych usług. Trzymajcie się od nich z daleka.",places/ChIJOQigBqxbH0cRHj57w-1pzpA/reviews/Ci9DQUlRQUNvZENodHljRjlvT21oNmFFRnZNRUpJTW1rdE9FWTNlSGhhYjNKdVpIYxAB
Škoda - CARSED Siedlce,Kamil Jagiełło,5,19.02.2026 09:50,Ogólne,"Zakup samochodu przebiegł sprawnie i bez najmniejszych problemów. Wszystko było jasno wytłumaczone, a formalności załatwione szybko i profesjonalnie. Pan Marcin Graniszewski to osoba kompetentna, rzetelna i bardzo pomocna na każdym etapie zakupu. Świetny kontakt i pełne zaangażowanie – zdecydowanie polecam!",places/ChIJOQigBqxbH0cRHj57w-1pzpA/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xndFpIcHZkVzVmZFdoRGExVnBSRWRUWm5oT1ExRRAB
Škoda - CARSED Siedlce,Jacek Łazuga,5,04.02.2026 09:04,Jan Cielemęcki,"Miło mi wystawić pozytywną i w pełni zaslużoną opinię salonowi Carsed. Obsługa była rzeczowa, pomocna i nastawiona na dopasowanie do potrzeby, a nie na sprzedaż „za wszelką cenę. Szczególne podziękowania dla Pana Mariusza Cudnego oraz Pana Jana Cielemęckiego za zaangażowanie i cierpliwość przy doborze auta — zadanie nie należało do najłatwiejszych 😊. Jestem bardzo zadowolony z całego procesu i z zakupionego samochodu. Zdecydowanie polecam i chętnie wrócę.""",places/ChIJOQigBqxbH0cRHj57w-1pzpA/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pGckxWSnNZWG80VEY5QloyMTNla3gyTkRkUmQyYxAB
Škoda - CARSED Siedlce,Pawel,5,03.02.2026 19:28,Maciej Rostek,"Polecam współpracę z Maciejem Rostek - Skoda. Brałem u Pana Macieja Skodę w najmie i cały proces przebiegł naprawdę wzorowo. Zaproponował bardzo dobrą, konkurencyjną cenę, a do tego wykazał się pełnym profesjonalizmem. Kontakt telefoniczny oraz przez inne platformy był bezproblemowy – zawsze odpowiadał szybko, rzeczowo i z dużą cierpliwością wszystko tłumaczył. Doradzał uczciwie i jasno, bez zbędnego nacisku. Widać, że zna się na swojej pracy i zależy mu na zadowoleniu klienta. Zdecydowanie polecam i na pewno wrócę przy kolejnej współpracy.",places/ChIJOQigBqxbH0cRHj57w-1pzpA/reviews/Ci9DQUlRQUNvZENodHljRjlvT2trdGFIcGFkRTVVYTFJelNqQkZVVkUyUlRONWVtYxAB
Škoda - CARSED Siedlce,Jarosław Kalinowski,5,06.03.2026 12:09,Ogólne,"Z czystym sumieniem mogę polecić serwis. W drodze zadzwoniłem w sprawie serwisu, przegląd Skody na 60tys km. Znalazło się miejsce w dogodnej godzinie, obsługa bardzo uprzejma i pomocną. Sam serwis wykonany bardzo dokładnie, mogę polecić :)",places/ChIJOQigBqxbH0cRHj57w-1pzpA/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tGR1gyRmhlVlIwVWpKVVVrMHhNemQyVlRSbE1FRRAB
